source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
C8	C12	COL4A4	ITGAV_ITGB8	0.0792823178169714	0	COL4A4_ITGAV_ITGB8	COL4A4 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C16	C12	COL4A5	ITGAV_ITGB8	0.0781005971708141	0	COL4A5_ITGAV_ITGB8	COL4A5 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	Thick ascending limb (TAL) / loop of Henle	COL4A4	ITGAV_ITGB8	0.0735734128903578	0	COL4A4_ITGAV_ITGB8	COL4A4 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C19	COL4A3	SDC4	0.0733732328714202	0	COL4A3_SDC4	COL4A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C9	COL4A3	ITGA2_ITGB1	0.0700061998023361	0	COL4A3_ITGA2_ITGB1	COL4A3 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	C12	COL6A1	ITGAV_ITGB8	0.0694997303259016	0	COL6A1_ITGAV_ITGB8	COL6A1 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C9	SPP1	ITGAV_ITGB6	0.0690714024520091	0	SPP1_ITGAV_ITGB6	SPP1 - (ITGAV+ITGB6)	SPP1	Secreted Signaling	PMID: 21907263
C13	Thick ascending limb (TAL) / loop of Henle	COL4A3	ITGAV_ITGB8	0.0690162357097233	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C9	COL4A3	SDC4	0.0685657409995069	0	COL4A3_SDC4	COL4A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C8	COL4A4	SDC4	0.0679811868526849	0	COL4A4_SDC4	COL4A4 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C16	COL4A3	ITGAV_ITGB8	0.0670962035479079	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Collecting duct principal cell	Thick ascending limb (TAL) / loop of Henle	LAMB1	ITGAV_ITGB8	0.0654436295487152	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
Epithelial progenitor-like / repair state (provisional)	Thick ascending limb (TAL) / loop of Henle	COL6A3	ITGAV_ITGB8	0.0651589649866234	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C12	SPP1	ITGAV_ITGB3	0.0648848055774571	0	SPP1_ITGAV_ITGB3	SPP1 - (ITGAV+ITGB3)	SPP1	Secreted Signaling	PMID: 21907263
C12	C16	COL4A3	SDC4	0.0647870686292308	0	COL4A3_SDC4	COL4A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C11	COL4A4	ITGAV_ITGB8	0.0647273539705517	0	COL4A4_ITGAV_ITGB8	COL4A4 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	Thick ascending limb (TAL) / loop of Henle	COL6A3	ITGAV_ITGB8	0.0640970480982871	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	C8	COL4A3	SDC4	0.0637465607233234	0	COL4A3_SDC4	COL4A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	Thick ascending limb (TAL) / loop of Henle	LAMB1	ITGAV_ITGB8	0.0623167704223133	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C10	C9	SPP1	ITGAV_ITGB1	0.0619682947934311	0	SPP1_ITGAV_ITGB1	SPP1 - (ITGAV+ITGB1)	SPP1	Secreted Signaling	PMID: 21907263
Collecting duct principal cell	Thick ascending limb (TAL) / loop of Henle	COL6A3	ITGAV_ITGB8	0.0618766000501591	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	Epithelial progenitor-like / repair state (provisional)	EGF	EGFR	0.0609731017945876	0	EGF_EGFR	EGF - EGFR	EGF	Secreted Signaling	KEGG: hsa04012
C13	C11	COL4A3	ITGAV_ITGB8	0.0606822163379403	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	Thick ascending limb (TAL) / loop of Henle	COL4A3	ITGAV_ITGB8	0.0603351238085999	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C14	EGF	EGFR	0.0602668949737898	0	EGF_EGFR	EGF - EGFR	EGF	Secreted Signaling	KEGG: hsa04012
Epithelial progenitor-like / repair state (provisional)	C8	COL6A3	SDC4	0.0601647753235583	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	Epithelial progenitor-like / repair state (provisional)	EGF	EGFR	0.0598869657541157	0	EGF_EGFR	EGF - EGFR	EGF	Secreted Signaling	KEGG: hsa04012
C13	C14	EGF	EGFR	0.059192545863898	0	EGF_EGFR	EGF - EGFR	EGF	Secreted Signaling	KEGG: hsa04012
C10	C16	COL4A3	ITGA2_ITGB1	0.0591880640545879	0	COL4A3_ITGA2_ITGB1	COL4A3 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	C8	COL6A3	SDC4	0.0591790979435351	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	Thick ascending limb (TAL) / loop of Henle	COL4A4	ITGAV_ITGB8	0.0583013879417821	0	COL4A4_ITGAV_ITGB8	COL4A4 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C14	Thick ascending limb (TAL) / loop of Henle	COL6A1	ITGAV_ITGB8	0.0582283770069781	0	COL6A1_ITGAV_ITGB8	COL6A1 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Collecting duct principal cell	C11	LAMB1	ITGAV_ITGB8	0.0575143668026693	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C12	Collecting duct intercalated cell	COL4A3	SDC1	0.0573623166658819	0	COL4A3_SDC1	COL4A3 - SDC1	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Epithelial progenitor-like / repair state (provisional)	C11	COL6A3	ITGAV_ITGB8	0.0572620793920859	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Collecting duct principal cell	C8	COL6A3	SDC4	0.0571186197677283	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	C11	COL6A3	ITGAV_ITGB8	0.0563211069823405	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C9	Thick ascending limb (TAL) / loop of Henle	COL6A3	ITGAV_ITGB8	0.0560562056622608	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C8	COL4A3	ITGAV_ITGB8	0.055939927564492	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C16	Thick ascending limb (TAL) / loop of Henle	LAMB1	ITGAV_ITGB8	0.0557061496009958	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C9	Thick ascending limb (TAL) / loop of Henle	LAMB1	ITGAV_ITGB8	0.0556956332965383	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C8	C8	COL4A3	SDC4	0.055688638597538	0	COL4A3_SDC4	COL4A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	C11	LAMB1	ITGAV_ITGB8	0.0547441708127062	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C13	Thick ascending limb (TAL) / loop of Henle	COL4A4	ITGAV_ITGB8	0.0545000905854071	0	COL4A4_ITGAV_ITGB8	COL4A4 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Collecting duct principal cell	C11	COL6A3	ITGAV_ITGB8	0.0543543884411218	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C1	C12	LAMB1	ITGAV_ITGB8	0.0541094085731087	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C10	C8	COL4A4	SDC4	0.0538025556829693	0	COL4A4_SDC4	COL4A4 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C14	C8	COL6A1	SDC4	0.0537348571647574	0	COL6A1_SDC4	COL6A1 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C3	Epithelial progenitor-like / repair state (provisional)	EGF	EGFR	0.0534947476423541	0	EGF_EGFR	EGF - EGFR	EGF	Secreted Signaling	KEGG: hsa04012
C8	Thick ascending limb (TAL) / loop of Henle	COL6A3	ITGAV_ITGB8	0.0533399332784454	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C3	C12	COL4A3	ITGAV_ITGB8	0.0532066154350966	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	C11	COL4A3	ITGAV_ITGB8	0.0529897213902535	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C2	C12	COL4A3	ITGAV_ITGB8	0.0529635173386675	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C3	C14	EGF	EGFR	0.052870280344676	0	EGF_EGFR	EGF - EGFR	EGF	Secreted Signaling	KEGG: hsa04012
C16	Thick ascending limb (TAL) / loop of Henle	COL6A3	ITGAV_ITGB8	0.0523573823265922	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	Thick ascending limb (TAL) / loop of Henle	COL6A3	ITGAV_ITGB8	0.0522334813726304	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C16	SPP1	ITGAV_ITGB1	0.0517550389017583	0	SPP1_ITGAV_ITGB1	SPP1 - (ITGAV+ITGB1)	SPP1	Secreted Signaling	PMID: 21907263
C9	C8	COL6A3	SDC4	0.0517211076823668	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C16	SPP1	ITGAV_ITGB6	0.0514683286022557	0	SPP1_ITGAV_ITGB6	SPP1 - (ITGAV+ITGB6)	SPP1	Secreted Signaling	PMID: 21907263
C10	C11	COL4A4	ITGAV_ITGB8	0.0511900912550138	0	COL4A4_ITGAV_ITGB8	COL4A4 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C14	C11	COL6A1	ITGAV_ITGB8	0.0511255023245445	0	COL6A1_ITGAV_ITGB8	COL6A1 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C5	Thick ascending limb (TAL) / loop of Henle	COL6A1	ITGAV_ITGB8	0.0510125321161084	0	COL6A1_ITGAV_ITGB8	COL6A1 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	Thick ascending limb (TAL) / loop of Henle	COL6A3	ITGAV_ITGB8	0.0509284834297242	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C16	COL4A4	ITGAV_ITGB8	0.0508145265323906	0	COL4A4_ITGAV_ITGB8	COL4A4 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C8	COL4A3	ITGA2_ITGB1	0.0503449296173883	0	COL4A3_ITGA2_ITGB1	COL4A3 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	Thick ascending limb (TAL) / loop of Henle	LAMA5	ITGAV_ITGB8	0.0502888161899956	0	LAMA5_ITGAV_ITGB8	LAMA5 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C13	C8	COL4A4	SDC4	0.0502789245424139	0	COL4A4_SDC4	COL4A4 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C8	COL4A3	ITGA3_ITGB1	0.0495924864579188	0	COL4A3_ITGA3_ITGB1	COL4A3 - (ITGA3+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C9	C11	COL6A3	ITGAV_ITGB8	0.0492044553465772	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	C8	COL6A3	SDC4	0.0492039480991453	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C16	C11	LAMB1	ITGAV_ITGB8	0.0488949703143432	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C9	C11	LAMB1	ITGAV_ITGB8	0.048885673269578	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C10	C19	COL4A3	SDC4	0.048482327154959	0	COL4A3_SDC4	COL4A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	Collecting duct intercalated cell	COL4A3	ITGA1_ITGB1	0.0483837458764219	0	COL4A3_ITGA1_ITGB1	COL4A3 - (ITGA1+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Injured distal epithelial state (provisional)	C12	COL6A3	ITGAV_ITGB8	0.048359197409694	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C16	C8	COL6A3	SDC4	0.0482936975996346	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C8	COL6A3	SDC4	0.0481789242285659	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Collecting duct intercalated cell	Thick ascending limb (TAL) / loop of Henle	COL6A3	ITGAV_ITGB8	0.0481147587502413	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	C11	COL4A4	ITGAV_ITGB8	0.0478289067356259	0	COL4A4_ITGAV_ITGB8	COL4A4 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C13	C16	COL4A3	ITGAV_ITGB8	0.0475946247414348	0	COL4A3_ITGAV_ITGB8	COL4A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C5	C8	COL6A1	SDC4	0.0470480448917335	0	COL6A1_SDC4	COL6A1 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C8	COL6A3	SDC4	0.0469702048305536	0	COL6A3_SDC4	COL6A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C8	C11	COL6A3	ITGAV_ITGB8	0.0468037308411494	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C1	C12	COL6A3	ITGAV_ITGB8	0.0465384819951643	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C3	C12	COL6A3	ITGAV_ITGB8	0.0464188857288519	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C2	C12	COL6A1	ITGAV_ITGB8	0.046348789914708	0	COL6A1_ITGAV_ITGB8	COL6A1 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C9	COL4A3	ITGA2_ITGB1	0.0462005659498974	0	COL4A3_ITGA2_ITGB1	COL4A3 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C5	Thick ascending limb (TAL) / loop of Henle	COL6A3	ITGAV_ITGB8	0.0461339303699603	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C10	SPP1	ITGAV_ITGB5	0.0460360562412039	0	SPP1_ITGAV_ITGB5	SPP1 - (ITGAV+ITGB5)	SPP1	Secreted Signaling	PMID: 21907263
C16	C11	GDF15	TGFBR2	0.0460060154943747	0	GDF15_TGFBR2	GDF15 - TGFBR2	GDF	Secreted Signaling	KEGG: hsa04350
C16	C11	COL6A3	ITGAV_ITGB8	0.0459357380264563	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C11	COL6A3	ITGAV_ITGB8	0.0458262986768911	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Epithelial progenitor-like / repair state (provisional)	C12	LAMB1	ITGAV_ITGB8	0.0457135231017504	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
C2	C12	COL6A3	ITGAV_ITGB8	0.0456391043270438	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Injured tubular epithelial program (mixed)	C12	COL6A3	ITGAV_ITGB8	0.0455795458246443	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C9	COL4A3	SDC4	0.0452261150558112	0	COL4A3_SDC4	COL4A3 - SDC4	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C10	C11	SPP1	ITGAV_ITGB3	0.0452088881928317	0	SPP1_ITGAV_ITGB3	SPP1 - (ITGAV+ITGB3)	SPP1	Secreted Signaling	PMID: 21907263
Collecting duct principal cell	C16	LAMB1	ITGAV_ITGB8	0.0450772113566065	0	LAMB1_ITGAV_ITGB8	LAMB1 - (ITGAV+ITGB8)	LAMININ	ECM-Receptor	KEGG: hsa04512
Epithelial progenitor-like / repair state (provisional)	C16	COL6A3	ITGAV_ITGB8	0.0448768819714576	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C5	C11	COL6A1	ITGAV_ITGB8	0.0447480451650807	0	COL6A1_ITGAV_ITGB8	COL6A1 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C16	COL4A4	ITGA2_ITGB1	0.0447333719308955	0	COL4A4_ITGA2_ITGB1	COL4A4 - (ITGA2+ITGB1)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C12	C11	COL6A3	ITGAV_ITGB8	0.04467383201759	0	COL6A3_ITGAV_ITGB8	COL6A3 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
Epithelial progenitor-like / repair state (provisional)	C12	COL4A2	ITGAV_ITGB8	0.044626717644383	0	COL4A2_ITGAV_ITGB8	COL4A2 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
C3	C12	COL6A1	ITGAV_ITGB8	0.0445001313838674	0	COL6A1_ITGAV_ITGB8	COL6A1 - (ITGAV+ITGB8)	COLLAGEN	ECM-Receptor	KEGG: hsa04512
